AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
153.87,77.44,187.07,105.02,31.44,105.11,107.27,86.37,222.47,156.46,153.2,36.26,127.53,85.35,45.41,149.78,199.54,65.04,69.62,52.35,32.16,86.86,123.72,178.05,122.25,95.04,45.31,80.75,78.31,81.75,
153.61,77.46,186.59,105.66,31.5,104.72,108.41,86.96,223.53,154.9,152.49,36.26,126.92,85.36,45.39,149.86,200.67,64.92,69.96,52.59,32.14,87.25,123.66,177.5,121.85,94.67,45.32,81.25,78.13,81.55,
153.67,77.09,186.88,105.47,31.68,104.06,108.34,86.71,218.42,153.88,151.73,36.18,127.11,83.9,45.43,149.93,202.44,64.88,70.41,52.92,32.13,87.4,123.73,176.59,121.27,94.72,46.2,80.16,78.15,81.1,
152.76,76.94,187.63,105.43,31.53,103.48,107.94,88.24,211.26,153.51,152.63,36.11,128.25,82.15,45.47,150.89,204.47,65.11,69.84,52.99,32.65,88.09,124.85,175.18,121.28,95.23,46.64,81.02,78.6,80.5,
153.18,78.28,187.32,105.65,31.82,104.27,108.21,89.38,215.01,155.15,152.67,36.12,128.78,83.06,45.79,152.39,204.35,65.26,70.1,52.3,32.71,88.13,125.4,179.58,121.79,95.4,46.51,82.18,79.81,80.7,
155.45,78.49,190.23,105.95,31.98,103.11,107.18,89.79,213.31,155.35,152.05,36.32,130.08,82.64,45.89,153.74,206.7,65.47,71.76,52.98,32.54,88.59,125.15,179.39,122.12,96.15,46.44,83.1,79.62,79.5,
153.93,78.97,188.95,105.2,31.76,103.19,106.52,90.02,213.99,154.79,152.41,36.34,130.36,82.79,45.99,152.79,206.22,65.07,72.28,53.01,32.35,88.74,125.38,179.37,120.98,96.55,46.37,83.38,80.26,80.12,
154.45,78.85,186.75,104.55,31.56,104.17,105.5,90.76,214.53,154.2,152.37,36.13,130.83,82.96,45.98,151.23,205.41,64.67,72.52,52.48,32.07,88.8,124.03,180.82,120.12,95.79,46.44,81.45,78.93,81.21,
155.37,79.81,188.1,103.51,31.61,103.77,105.92,91.11,215.78,154.96,150.98,36.26,130.75,83.91,45.51,151.94,205.01,64.06,72.39,53.23,32,88.77,123.5,183.21,119.78,96.09,46.5,81.46,79.15,80.91,
154.99,79.95,189.93,105.01,31.61,104,104.32,91.1,218.76,153.5,152.1,36.48,130.55,84.95,45.13,151.43,205.94,63.2,71.95,53.2,31.75,87.85,123.78,181.69,119.94,96.09,46.19,81.47,78.93,80.62,
148.98,80.31,190.03,105.92,31.37,106.4,105.62,92.2,222.44,152.96,154.1,35.71,131.53,86.96,45.32,151.48,206.93,64.39,70.32,53.46,32.77,88.16,125.23,181.46,120.64,94.56,46.72,80.99,79.42,82.13,
145.42,80.17,190,106.07,31.25,108.04,107.04,91.16,221.91,152.18,155.18,35.73,131.82,86.98,45.33,148.47,207.39,64.39,69.78,54.03,32.7,88.24,125.67,179.25,119.88,93.5,47.19,81.81,79.24,82.93,
146.59,80.59,191.09,105.75,31.7,108.13,106.56,92.94,224.2,153.99,154.25,35.88,132.02,87.27,45.03,149.82,209.11,63.27,70.65,54.31,32.58,88.06,126.1,181.05,120.06,95.08,46.46,81.8,79.52,82.96,
145.16,80.84,192.38,104.71,31.6,106.6,106.14,91.9,226.51,156.76,153.81,35.53,132.77,87.09,45.3,150.68,210.01,63.37,70.27,54.66,32.69,88.44,127.96,182.36,120.01,95.32,46.69,82.88,79.9,82.07,
144.29,80.7,195.45,106.4,31.58,106.33,105.98,91.28,223.23,156.77,154.22,35.31,133.04,86.57,45.25,151.17,211.29,63.19,69.9,52.9,32.81,89.38,129.02,180.38,120.75,94.17,46.64,82.56,78.91,82.26,
142.27,81.45,196.44,107.6,31.63,108.35,105.51,91.7,221.81,156.64,155.38,35.21,134.35,86.18,45.31,151.99,213.24,62.97,70,51.1,32.97,89.66,129.44,181.63,120.43,94.17,46.63,78.44,75.24,83.49,
146.34,81.88,199.08,107.49,31.99,107.46,105.37,92.88,226.13,158.81,154.84,35.51,134.07,88.07,45.38,153.14,213.36,63.68,70.87,52.02,33.22,89.86,128.27,183.02,121.85,94.79,46.57,79.81,75.5,82.76,
145.01,82.51,198.33,107.04,31.85,106.48,103.94,92.71,225.1,157.67,154.95,34.86,134.22,87.52,45.61,154.07,213.36,64.53,69.91,51.56,33.56,89.63,128.75,183.27,121.51,94.38,45.94,78.3,75.54,82.31,
145.87,82.21,199.17,103.47,31.84,104.49,104.8,90.69,222.49,156.59,153.79,34.58,134.91,87.12,45.22,153.73,212.86,65.46,70.27,52.59,33.88,89.4,128.58,184.92,121.75,94.54,45.41,78.12,76.24,81.44,
145.63,82.25,199.44,103.84,31.85,104.45,104.22,90.9,219.77,155.48,154.4,34.36,136.05,87.02,45.07,154.8,212.22,66.02,70.26,52.4,34.06,89.03,128.31,186.5,122.17,93.95,45.42,76.37,75.52,81.08,
146.28,82.22,202.23,104.11,32.09,105,104.36,90.39,217.19,151.31,154.11,34.19,136.43,86.86,45.25,154.64,212.9,66.16,71.21,52.85,34.17,89.42,127.66,185.25,122.22,95.58,45.39,76.34,74.84,81.61,
145.82,82.96,199.98,104.25,32.24,104.14,105.57,90.53,220.44,151.42,155.23,34.07,136.34,87.24,45.43,153.96,212.61,65.92,70.53,53.28,34.04,89.36,127.95,185.12,121.87,95.22,45.75,77.53,75.5,81.24,
143.73,83.08,198.89,103.93,31.76,104.07,105.41,89.85,220.28,152.24,154.75,33.65,135.01,88.05,45.05,153.72,209.78,65.54,69.21,52.95,33.77,88.61,127.38,184.6,121.59,94.9,44.84,77.26,76.01,81.11,
145.83,83.97,199.62,106.45,32.08,104.28,106.86,90.07,223.22,153.23,155.32,34.2,133.82,89.82,45.32,154.3,210.62,65.16,69.8,53.36,33.75,88.37,127.78,185.7,122.5,96.23,44.84,77.09,76.51,81.53,
143.68,83.63,197.46,105.64,31.41,104.12,105.71,89.3,224.41,152.16,154.13,33.54,132.64,91.15,44.83,153.13,207.85,64.34,68.49,53.17,33.63,86.99,126.39,185.27,121.65,94.42,44.41,78.37,75.93,80.7,
144.02,84.24,197.75,107.46,31.3,104.33,106.25,89.82,221.9,153.4,153.83,33.74,132.29,91.4,44.85,153.16,208.19,64.09,68.93,59,33.59,87.15,126.53,185.42,122.11,93.78,44.66,78.31,75.68,80.73,
